date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:20	4455/4455	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225787e8a68b8a454e220217aa361d42ad%22	https://www.talentprotocol.com/robots.txt		(from )
16:04:21	64297/64297	---MCZ	200	added ('OK')	text/html	etag:W/%2295b7d94f2813d76639921e998097e8d9%22	https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/index4149.html	(from )
16:04:22	64297/64297	---MCZ	200	added ('OK')	text/html	etag:W/%2295b7d94f2813d76639921e998097e8d9%22	https://www.talentprotocol.com/	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/index.html	(from https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp)
16:04:22	209793/209793	---M--	200	added ('OK')	image/jpeg	etag:%2244fc604d722462478ad6dc9bb737f96b%22	https://www.talentprotocol.com/metaimage.jpeg	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/metaimage.jpeg	(from https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp)
16:04:23	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e805fd087badeb1660867119ffd9216c%22	https://www.talentprotocol.com/favicon.ico	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/favicon.ico	(from https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp)
16:04:23	51987/51987	---MCZ	200	added ('OK')	text/css	etag:W/%22076034ca01333d5cb85834ae1b241a1d%22	https://www.talentprotocol.com/_next/static/css/0562d6eafe93748a.css	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/_next/static/css/0562d6eafe93748a.css	(from https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp)
16:04:23	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299442aec5788bccac9b2f0ead2afdd6b%22	https://www.talentprotocol.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp)
16:04:24	3746/3746	---MCZ	200	added ('OK')	application/javascript	etag:W/%227de52e14659c384d9cd5c06a53367b52%22	https://www.talentprotocol.com/_next/static/chunks/webpack-b84a4033ef6e04d9.js	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/_next/static/chunks/webpack-b84a4033ef6e04d9.js	(from https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp)
16:04:24	129979/129979	---MCZ	200	added ('OK')	application/javascript	etag:W/%22623da2092ab9e81400d81fad9017f0ba%22	https://www.talentprotocol.com/_next/static/chunks/framework-5f4595e5518b5600.js	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/_next/static/chunks/framework-5f4595e5518b5600.js	(from https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp)
16:04:24	577780/577780	---M--	200	added ('OK')	image/png	etag:%22af584436d920de18537d0b1fc57c8c23%22	https://www.talentprotocol.com/_next/static/media/discover.0f6977f8.png	C:/Users/Emmanuel%20LEO/Downloads/talent/www.talentprotocol.com/_next/static/media/discover.0f6977f8.png	(from https://www.talentprotocol.com/?referral=nnn6xo1&refSource=whatsapp)
